類別	名稱	地址	縣市	鄉鎮	經度	緯度
家樂福超市	士林通河店	111 台北市士林區通河街153號、155號	台北市	士林區	121.520378	25.081225
家樂福超市	士林華齡店	111 台北市士林區華齡街175號	台北市	士林區	121.51921	25.087095
家樂福超市	士林德行東店	111 台北市士林區德行東路230號	台北市	士林區	121.53297	25.109207
家樂福超市	大安和平東店	106 台北市大安區和平東路一段145號	台北市	大安區	121.530695	25.026639
家樂福超市	大安敦化南店	106 台北市大安區敦化南路二段48號	台北市	大安區	121.548626	25.030658
家樂福超市	大雅民生二店	428 台中市大雅區上雅村民生路一段37號	台中市	大雅區	120.646497	24.226005
家樂福超市	大溪介壽店	335 桃園市大溪區介壽路894號、896號	桃園市	大溪區	121.28372	24.90031
家樂福超市	中和中山店	235 新北市中和區中山路三段1-3號	新北市	中和區	121.479984	25.005654
家樂福超市	中和民治店	235 新北市中和區民治街120號	新北市	中和區	121.47525	25.003345
家樂福超市	中和復興店	235 新北市中和區復興路268號	新北市	中和區	121.502912	24.990466
家樂福超市	中和圓通店	235 新北市中和區圓通路274號	新北市	中和區	121.492504	24.990823
家樂福超市	中和壽德店	235 新北市中和區壽德街20號1樓	新北市	中和區	121.466205	24.994675
家樂福超市	中和興南店	235 新北市中和區興南路一段20號B1	新北市	中和區	121.511248	24.991316
家樂福超市	中壢永福店	320 桃園市中壢區永福路982、986號	桃園市	中壢區	121.252845	24.963686
家樂福超市	中壢環北店	320 桃園市中壢區環北路392號	桃園市	中壢區	121.225872	24.965722
家樂福超市	五股成泰二店	248 新北市五股區成泰路一段6號	新北市	五股區	121.434215	25.073795
家樂福超市	五股成泰店	248 新北市五股區成泰路一段235號之4	新北市	五股區	121.43608	25.079035
家樂福超市	五股西雲店	248 新北市五股區西雲路169-1號、171號、171-1號	新北市	五股區	121.447081	25.095005
家樂福超市	五股明德店	248 新北市五股區明德路12巷5號	新北市	五股區	121.432847	25.072267
家樂福超市	內湖民權東店	114 台北市內湖區民權東路六段296巷42-3號地下樓	台北市	內湖區	121.607615	25.071725
家樂福超市	內湖成功二店	114 台北市內湖區成功路二段320巷19號	台北市	內湖區	121.589987	25.06769
