類別	名稱	地址
OKmart	OK永和永利店	新北市永和區永利路45號1樓
OKmart	OK永和四維店	新北市永和區四維街65號1樓
OKmart	OK永和保福店	新北市永和區仁愛路202巷16號1樓
OKmart	OK永和信義店	新北市永和區信義路111號
OKmart	OK新莊思源店	新北市新莊區福壽街156號
OKmart	OK新莊建中店	新北市新莊區建中街28號
OKmart	OK新莊昌平店	新北市新莊區昌平街2號
OKmart	OK新莊四維店	新北市新莊區四維路123-1號
OKmart	OK新莊龍安店	新北市新莊區四維路215號
OKmart	OK新莊中平店	新北市新莊區中平路10號
OKmart	OK新莊民安店	新北市新莊區民安東路127號1樓
OKmart	OK新莊八德店	新北市新莊區八德街111號
OKmart	OK新莊福華店	新北市新莊區中華路２段208號1樓
OKmart	OK新莊青山店	新北市新莊區青山路１段52之1號1樓
OKmart	OK桃園建國店	桃園市桃園區建國路156-9號
OKmart	OK桃園民族店	桃園市桃園區民族路204號
OKmart	OK桃園正康店	桃園市桃園區正康二街83號
OKmart	OK桃園博愛店	桃園市桃園區博愛路97號1樓
OKmart	OK桃園法治店	桃園市桃園區法治路2.4號
OKmart	OK桃園南華店	桃園市桃園區南華街67號1樓
OKmart	OK桃園同德店	桃園市桃園區同安街340、342號1樓、338巷1號1樓
OKmart	OK台表科門市	桃園市桃園區桃鶯路437號B1
OKmart	OK桃園埔新店	桃園市桃園區力行路40號1樓
OKmart	OK桃園龍祥店	桃園市桃園區龍祥街48號1樓
OKmart	OK桃園大有店	桃園市桃園區大有路656號1+2樓
OKmart	OK榮總桃園門市	桃園市桃園區成功路３段100號1樓
OKmart	OK英業達桃園門市	桃園市桃園區大智路88號1樓
OKmart	OK桃園運動門市	桃園市桃園區中山東路233號1樓
OKmart	OK台達興隆門市	桃園市桃園區興隆路18號
OKmart	OK桃園地院門市	桃園市桃園區正光路888號B1
OKmart	OK中壢信義店	桃園市中壢區中北路２段400號
OKmart	OK中壢福州店	桃園市中壢區中北路二段350～354號
OKmart	OK中壢華勛店	桃園市中壢區華勛街293號1樓
OKmart	OK中壢仁愛店	桃園市中壢區新中北路840、842號1樓
OKmart	OK中壢復華店	桃園市中壢區復華街50號1樓
OKmart	OK中壢興仁店	桃園市中壢區興仁路２段295號、297巷1號1樓
OKmart	OK中壢王子店	桃園市中壢區王子街50號
OKmart	OK中壢永泰店	桃園市中壢區溪洲街71號一樓
OKmart	OK中壢徐州店	桃園市中壢區環中東路２段328號1樓
OKmart	OK中壢高商門市	桃園市中壢區中央西路２段141巷100號2、3樓
OKmart	OK中壢榮學店	桃園市中壢區榮民南路186號1樓、2樓
OKmart	OK中壢百齡店	桃園市中壢區龍門街137號1樓
OKmart	OK中壢南亞店	桃園市中壢區中山東路３段文化新村9號
OKmart	OK中壢育樂店	桃園市中壢區中正路257號、康樂路85號1樓
OKmart	OK中壢清雲店	桃園市中壢區健行路99號
OKmart	OK中壢長華店	桃園市中壢區復華九街71號1樓
OKmart	OK中壢利民店	桃園市中壢區利民路1號
OKmart	OK中壢永福店	桃園市中壢區永福路1042號
OKmart	OK中壢吉林店	桃園市中壢區忠孝路479號1樓
OKmart	OK中壢中央店	桃園市中壢區中央西路２段148號1樓
OKmart	OK中壢金峰店	桃園市中壢區中山東路３段2號
OKmart	OK中壢雙連店	桃園市中壢區五興路402號1樓
