類別	名稱	地址	經度	緯度
麥當勞	高雄民族旗艦專櫃(含現烤法點)	高雄市左營區民族路一段1026號	120.320122	22.683131
麥當勞	高雄新博愛(含現烤法點)	高雄市左營區新上里博愛二路226號	120.30327	22.660614
麥當勞	高雄新大勇(含現烤法點)	高雄市鹽埕區大勇路120號	120.2849187	22.6251733
麥當勞	高雄博愛旗艦專櫃	高雄市鼓山區博愛二路363號	120.3031237	22.66442122
麥當勞	高雄家樂福	高雄市三民區河東路356號1樓	120.28605	22.633637
麥當勞	高雄博愛二旗艦專櫃(含現烤法點)	高雄市左營區新光里14鄰博愛三路225號	120.3048304	22.67416969
麥當勞	高雄漢神二	高雄市左營區博愛二路777號B1	120.300183	22.6697601
麥當勞	左營三越	高雄市左營區高鐵路115號3樓	120.30899	22.6873
麥當勞	高雄美術東二(含現烤法點)	高雄市鼓山區美術東二路157 159號1~2樓	120.288186	22.661562
麥當勞	高雄楠梓(含現烤法點)	高雄市楠梓區建楠路160號	120.3266381	22.72712432
