類別	名稱	地址	經度	緯度
屈臣氏	信義三	台北市大安區信義路四段22號	121.544421	25.033163
屈臣氏	龍泉	台北市大安區師大路125號	121.528288	25.021916
屈臣氏	通化	台北市大安區信義路四段296號	121.554485	25.032972
屈臣氏	永信	台北市大安區永康街2號	121.529762	25.033199
屈臣氏	臨江	台北市大安區光復南路704號	121.557216	25.029534
屈臣氏	安居	台北市大安區安居街27號	121.554644	25.020642
屈臣氏	和平東	台北市大安區和平東路一段29號	121.523285	25.027269
屈臣氏	臥龍	台北市大安區和平東路二段365號	121.546585	25.024944
屈臣氏	忠孝東	台北市大安區忠孝東路四段339號	121.557187	25.041661
屈臣氏	木柵	台北市文山區興隆路三段53號	121.55601	25.000333
屈臣氏	政大	台北市文山區指南路二段123號	121.575646	24.987703
屈臣氏	木柵3	台北市文山區木柵路三段59號	121.566462	24.988661
屈臣氏	景美2	台北市文山區景興路195號	121.544175	24.992194
屈臣氏	木新	台北市文山區木新路三段119號	121.562186	24.981883
屈臣氏	世新	台北市文山區木柵路一段167號	121.550712	24.987733
屈臣氏	復興	台北市松山區南京東路三段259號	121.54489	25.051947
屈臣氏	延吉	台北市松山區延吉街7號	121.55351	25.047664
屈臣氏	南二	台北市松山區南京東路五段64號	121.560618	25.051296
屈臣氏	民權	台北市松山區民權東路三段136號	121.546414	25.061853
屈臣氏	民環	台北市松山區民生東路五段188號	121.564047	25.058671
屈臣氏	松山	台北市松山區八德路四段725號	121.577145	25.050071
屈臣氏	民生	台北市松山區民生東路四段60號	121.551796	25.057794
屈臣氏	台安	台北市松山區八德路二段406號	121.546785	25.048051
屈臣氏	東興	台北市松山區南京東路5段301號	121.566422	25.051578
屈臣氏	南寧	台北市松山區南京東路四段131號	121.555011	25.051834
屈臣氏	總公司	台北市松山區八德路四段760號11樓	121.577	25.05
屈臣氏	武昌	台北市萬華區武昌街二段37號	121.507708	25.044647
屈臣氏	萬大	台北市萬華區萬大路497號	121.49776	25.019875
屈臣氏	西園	台北市萬華區西園路一段198號	121.499211	25.036062
屈臣氏	西門	台北市萬華區成都路15號	121.507201	25.042608
屈臣氏	武昌二	台北市萬華區武昌街二段81號	121.503874	25.04448
