類別	名稱	地址
星巴克	青埔門市	桃園市中壢區高鐵北路一段6號
星巴克	復興門市	桃園市中壢區中山路138號1樓
星巴克	青埔影城門市	桃園市中壢區春德路107號1樓
星巴克	青埔華泰門市	桃園市中壢區春德路189號 1樓
星巴克	青埔高鐵南門市	桃園市中壢區高鐵南路二段231號 (近桃園捷運 A19站)
星巴克	宜蘭門市	宜蘭縣宜蘭市舊城東路56號
星巴克	宜蘭新月門市	宜蘭縣宜蘭市民權路二段38巷6號1樓
星巴克	大園門市	桃園市大園區中正東路 232號
星巴克	平鎮民族門市	桃園市平鎮區民族路二段209號
星巴克	龍潭中科院門市	桃園市龍潭區中正路佳安段481號 (中科院新新餐廳1F)
星巴克	平鎮家樂福門市	桃園市平鎮區莊敬里48鄰坤慶路1號
星巴克	龍潭門市	桃園市龍潭區北龍路292-1及292-2號
星巴克	楊梅埔心門市	桃園市楊梅區中山北路二段287號
星巴克	楊梅中山門市	桃園市楊梅區中山北路一段338號
星巴克	羅東門市	宜蘭縣羅東鎮興東路97號
星巴克	六家門市	新竹縣竹北市高鐵七路6號1F
星巴克	竹北華邦電門市	新竹縣竹北市文興路二段539號
星巴克	湖口休息站門市	新竹縣北埔鄉榮光路158號(國道一號湖口北向服務區)
星巴克	台元二門市	新竹縣竹北市台元一街2號
星巴克	竹北光明門市	新竹縣竹北市光明六路東一段316號
星巴克	台元門市	新竹縣竹北市台元科技園區台元街34號
星巴克	竹北遠百門市	新竹縣竹北市莊敬北路18號7
星巴克	竹北文興門市	新竹縣竹北市文興路一段186號
星巴克	竹北自強門市	新竹縣竹北市自強南路182號
星巴克	新竹北門市	新竹縣竹北市光明一路372號
星巴克	新竹新豐門市	新竹縣新豐鄉新興路202號
星巴克	新竹日光門市	新竹市東區關新路38號1樓
星巴克	新竹關埔門市	新竹市東區埔頂二路71 號
星巴克	介壽門市	新竹市東區介壽路47號
星巴克	新竹達門市	新竹市東區力行二路1號
星巴克	聯發科門市	新竹市東區篤行一路1號
星巴克	台積電門市	新竹市東區新竹科學園區力行六路8號4樓
星巴克	台積電12P7門市	新竹市東區園區二路188號
星巴克	台積電P4門市	新竹市東區科學園區園區二路168號
星巴克	光復清大門市	新竹市東區光復路二段406號
星巴克	公道五門市	新竹市東區公道五路二段469號 1樓
星巴克	新竹大潤發門市	新竹市東區忠孝路300號1樓
星巴克	新竹台醫門市	新竹市北區經國路一段442巷25號
星巴克	台積電5門市	新竹縣寶山鄉園區三路121號
星巴克	研新門市	新竹市東區科學園區研新二路6號
星巴克	新竹動物園門市	新竹市東區博愛街111號
星巴克	新竹巨城門市	新竹市東區中央路223號 1樓
星巴克	新竹大魯閣門市	新竹市北區湳雅街 91 之2 號
星巴克	園區門市	新竹市北區新竹科學工業園區研新一路9號1樓
星巴克	新竹北大門市	新竹市東區北大路109 號
星巴克	新竹護城河門市	新竹市東區林森路18號
星巴克	西大門市	新竹市東區西大路323號1樓
星巴克	新竹竹光門市	新竹市北區西大路687號
星巴克	頭份尚順門市	苗栗縣頭份鎮中央路105號1F
星巴克	頭份中央門市	苗栗縣頭份鎮中央路372號
星巴克	竹南門市	苗栗縣竹南鎮環市路二段112號
星巴克	花蓮和平門市	花蓮縣秀林鄉和平263號
星巴克	苗栗高鐵門市	苗栗縣後龍鎮高鐵三路268號
星巴克	苗栗國華門市	苗栗縣苗栗市國華路1128號
星巴克	西湖休息站門市	苗栗縣西湖鄉湖東村8鄰埔頂29號
星巴克	花蓮中央門市	花蓮縣花蓮市中央路四段11號
星巴克	花蓮新站門市	花蓮縣花蓮市國聯一路100號
星巴克	泰安北門市	台中市后里區九甲七路400號
星巴克	泰安南門市	台中市后里區安眉路113號
星巴克	美光門市	台中市后里區后科南路88號(2樓餐廳)
星巴克	花蓮遠百門市	花蓮縣花蓮市和平路581號
星巴克	麗寶鐘樓門市	台中市后里區月眉東路2段181號
星巴克	花蓮門市	花蓮縣花蓮市中山路231號
星巴克	清境門市	南投縣仁愛鄉定遠新村26-1號1樓
星巴克	台中麗寶門市	台中市后里區福容路201號
星巴克	豐原向陽門市	台中市豐原區向陽路182號
星巴克	洄瀾門市	花蓮縣吉安鄉南濱路一段505號
星巴克	豐原門市	台中市豐原區復興路2號
星巴克	大甲門市	台中市大甲區順天路202號及202之2號
星巴克	豐原家樂福門市	台中市豐原區成功路500號1F
星巴克	台中慈濟門市	台中市潭子區豐興路一段88號二樓
星巴克	潭子門市	台中市潭子區勝利路188號
星巴克	軍功東山門市	台中市北屯區軍功路一段720號
星巴克	崇德昌平門市	台中市北屯區崇德路三段398號
星巴克	大雅門市	台中市大雅區中清路三段1205號
星巴克	松竹門市	台中市北屯區松竹路二段350號
星巴克	文心昌平門市	台中市北屯區文心路四段817號
星巴克	太平門市	台中市太平區中山路四段21號
星巴克	中清門市	台中市北屯區中清路二段769號
星巴克	清水門市	台中市清水區中華路313號
星巴克	中清太原門市	台中市北區中清路一段510號
星巴克	中醫門市	台中市北區育德路2號
星巴克	台積電15門市	台中市大雅區科雅六路1號
星巴克	中醫二門市	台中市北區學士路2號1樓 (位於中國醫藥大學附設醫院五權院區急重症大樓一樓)
星巴克	中友門市	台中市北區三民路三段161號1樓C棟
星巴克	中友二門市	台中市北區三民路三段161號C棟2樓
星巴克	逢甲大學門市	台中市西屯區文華路100號
星巴克	台中友達門市	台中市西屯區中科路1號
星巴克	文心甘肅門市	台中市西屯區文心路三段135號1樓
星巴克	日曜門市	台中市中區自由路二段94號1F
星巴克	埔里門市	南投縣埔里鎮中山路三段245號
星巴克	台中新時代門市	台中市東區復興路四段186號1-1號
星巴克	黎明福科門市	台中市西屯區黎明路三段289號
星巴克	中正繼光門市	台中市中區台灣大道一段138號1樓
星巴克	台中金典門市	台中市西區健行路1049號B1
星巴克	中港門市	台中市西區台灣大道二段363號
星巴克	廣三SOGO門市	台中市西區台灣大道二段459號2樓
星巴克	河南青海門市	台中市西屯區河南路二段431號
星巴克	園道門市	台中市西區公益路68號1樓
星巴克	台中遠百門市	台中市西屯區台灣大道三段251號11樓
星巴克	超億門市	台中市西區公益路128號
星巴克	三越一店門市	台中市西屯區台灣大道三段301號3樓
星巴克	台中三越11門市	台中市西屯區台灣大道三段301號11樓
星巴克	米平方門市	台中市西屯區國安一路168號
星巴克	美村向上門市	台中市西區美村路一段319號
星巴克	朝富門市	台中市西屯區朝富路83號1樓
星巴克	新國門市	台中市西屯區市政北一路1號
星巴克	福康門市	台中市西屯區福康路1.3號1樓
星巴克	大英門市	台中市南屯區公益路二段131號
星巴克	沙鹿門市	台中市沙鹿區沙田路103號
星巴克	市政門市	台中市西屯區市政路581號
星巴克	童綜合門市	台中市梧棲區台灣大道八段699號
星巴克	五權門市	台中市西區五權西路一段277號1樓
星巴克	國資圖門市	台中市南區五權南路100號
星巴克	中榮門市	台中市西屯區台灣大道四段1650號1樓
星巴克	向心門市	台中市南屯區文心路一段197號
星巴克	大里門市	台中市大里區國光路二段411-1號
星巴克	五權惠中門市	台中市南屯區五權西路二段658號
星巴克	MITSUI台中門市	台中市梧棲區台灣大道十段168號
星巴克	文心秀泰門市	台中市南屯區文心南路289號1F
星巴克	大里中興門市	台中市大里區中興路一段173之25號
星巴克	永春東門市	台中市南屯區永春東路1340號
星巴克	中山醫門市	台中市南區建國北路一段110號
星巴克	文心大慶門市	台中市南區文心南路542號
星巴克	烏日中山門市	台中市烏日區中山路一段688號
星巴克	烏日門市	台中市烏日區站區二路8號2樓
星巴克	日月潭門市	南投縣魚池鄉中山路101號
星巴克	草屯門市	南投縣草屯鎮中正路857之1號
星巴克	彰基門市	彰化縣彰化市旭光路235號
星巴克	彰化曉陽門市	彰化縣彰化市曉陽路358號
星巴克	彰化中山門市	彰化縣彰化市中山路二段76號
星巴克	和美門市	彰化縣和美鎮彰化縣和美鎮道周路445號
星巴克	南投休息站門市	南投縣南投市振興里南鄉路250巷142弄6號
星巴克	南投家樂福門市	南投縣南投市三和三路21號1樓
星巴克	員林門市	彰化縣員林鎮中山路二段458號
星巴克	鹿港門市	彰化縣鹿港鎮中正路512號
星巴克	員林大潤發門市	彰化縣埔心鄉中山路319號
星巴克	西螺門市	雲林縣西螺鎮振興里1號
星巴克	斗六中正門市	雲林縣斗六市大學路二段308號
星巴克	斗六門市	雲林縣斗六市雲林路二段190號
星巴克	雲林高鐵門市	雲林縣虎尾鎮站前東路301號
星巴克	虎尾門市	雲林縣虎尾鎮林森路一段491號
星巴克	嘉義民雄門市	嘉義縣民雄鄉建國路一段235號
星巴克	嘉義忠孝門市	嘉義市東區忠孝路790之5號
星巴克	嘉基門市	嘉義市東區忠孝路539號
星巴克	耐斯門市	嘉義市東區忠孝路600號
星巴克	馬祖門市	連江縣南竿鄉福沃村8鄰143-1號
星巴克	嘉義市府門市	嘉義市東區中山路201號1樓
星巴克	嘉邑門市	嘉義市東區垂楊路2號
星巴克	嘉義中山門市	嘉義市東區中山路471號
星巴克	北港門市	雲林縣北港鎮華南路38號
星巴克	中埔穀倉門市	嘉義縣中埔鄉金蘭村頂山門36號
星巴克	垂楊門市	嘉義市東區垂楊路537號1樓
星巴克	嘉義中興門市	嘉義市西區中興路398號
星巴克	嘉義世賢門市	嘉義市東區世賢路四段432之1號
